Ticker,Company,Price,Market Cap,Volume,52W High,52W Low,Market Cap Formatted,1M Return %,3M Return %,6M Return %,Volatility %,Current Price,Signal,% Above MA20
ACAD,ACADIA Pharmaceuticals Inc.,20.915,3528616192,213516,26.65,13.4,$3.53B,-15.529076243179555,-10.120324434504338,39.52635913861132,53.89073669867489,20.915000915527344,SELL,-3.700714786230791
ALNY,"Alnylam Pharmaceuticals, Inc.",479.54,62857633792,110922,484.21,205.87,$62.86B,6.053031891634221,47.26077477383593,107.6560099398529,37.55164582122933,479.5400085449219,BUY,4.83570586640255
ARCT,Arcturus Therapeutics Holdings Inc.,21.54,584908544,189531,23.6,8.04,$584.91M,9.785932691983332,39.41748337504913,103.78430972022426,91.98479731793645,21.540000915527344,BUY,5.093680773288413
ARWR,"Arrowhead Pharmaceuticals, Inc.",36.8167,5090186752,130782,39.42,9.57,$5.09B,16.841319308984122,131.26067716866555,186.0660474674908,65.52149868913358,36.81669998168945,BUY,6.789872226780169
AUPH,Aurinia Pharmaceuticals Inc.,11.37,1496627840,128173,13.54,6.55,$1.50B,-11.792090126289708,23.721440747713906,46.70967594269783,50.11680058296268,11.369999885559082,SELL,-4.493911618631753
AVRO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,
AXSM,"Axsome Therapeutics, Inc.",127.09,6341980160,117236,139.13,75.56,$6.34B,7.131416404234053,19.490405799717063,22.401997588984983,31.143104393999653,127.08999633789062,BUY,6.219909059667558
BCEL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,
BEAM,Beam Therapeutics Inc.,27.07,2738456064,480022,35.25,13.525,$2.74B,7.848602722766729,22.157039175185325,56.65508460161527,68.7818610043835,27.06999969482422,BUY,8.074657589512166
BIIB,Biogen Inc.,143.92,21100771328,194403,192.16,110.04,$21.10B,0.07649023866142825,9.87937308253062,23.02957260978309,33.460601908296475,143.9199981689453,NEUTRAL,-1.1630122181388758
BLUE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,
BNTX,BioNTech SE,103.07,24777895936,109040,129.27,81.2,$24.78B,7.174752193203431,-9.930189707627084,4.262627495659722,51.72292361379014,103.22000122070312,NEUTRAL,1.8687124239764998
CGEN,Compugen Ltd.,2.085,195021232,274065,2.66,1.13,$195.02M,55.597013896333294,32.80254576364747,51.08695980806959,71.86670865168017,2.0850000381469727,BUY,25.772887796279086
CLDX,"Celldex Therapeutics, Inc.",26.695,1772722688,83276,30.41,14.4,$1.77B,2.989967655282057,11.834934043854634,45.31844570094332,61.786988576025145,26.69499969482422,BUY,2.5419402029490916
CRSP,CRISPR Therapeutics AG,71.66,6517507584,522381,78.48,30.04,$6.52B,13.854472872041027,5.165841361888364,83.97946664559034,62.17373302062168,71.66000366210938,BUY,6.845991669656909
DVAX,Dynavax Technologies Corporation,9.835,1153325696,120235,14.63,9.2,$1.15B,0.8717952630458733,-13.348020197392932,-13.803679494547591,38.35043931250994,9.835000038146973,SELL,-1.0090335449977885
EDIT,"Editas Medicine, Inc.",3.96,356083840,1244162,4.537,0.91,$356.08M,32.333334287007645,14.739883954925933,194.07407099981535,105.18887744563384,3.9700000286102295,BUY,12.099393841210846
EXEL,"Exelixis, Inc.",40.095,10793675776,305806,49.62,27.86,$10.79B,-0.9023527109577059,-11.707053442226412,9.70169151648515,48.73308634981367,40.084999084472656,BUY,0.9538782358618516
GILD,"Gilead Sciences, Inc.",118.29,146775048192,725223,121.83,85.6,$146.78B,4.136592883847272,4.915171841424273,13.538629788301987,29.549678173234128,118.31999969482422,NEUTRAL,3.475416533642444
ILMN,"Illumina, Inc.",94.2,14478539776,428212,156.66,68.7,$14.48B,-8.570321203215439,-9.951250933344575,26.290389560442932,41.68461575606317,94.19999694824219,SELL,-2.960131736430607
IMVT,"Immunovant, Inc.",17.76,3095867136,434096,32.1,12.72,$3.10B,15.324679667601144,-3.4257704278186236,14.839961549627942,50.47459267302945,17.760000228881836,BUY,8.94870178460027
INSM,Insmed Incorporated,164.67,34807087104,319616,166.44,60.4,$34.81B,12.89592587404584,59.1937299713647,131.7011381399199,53.4094424565875,164.6699981689453,BUY,8.453968522278018
IONS,"Ionis Pharmaceuticals, Inc.",72.17,11503264768,245510,72.485,23.95,$11.50B,16.852923034870248,70.23358854359488,154.2107074576729,58.8618360110257,72.1449966430664,BUY,8.25552019923517
KTOV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,
MRNA,"Moderna, Inc.",27.4,10660785152,2264166,58.45,23.15,$10.66B,7.662474996496324,-20.968842933050134,4.421116413905414,54.49293983508515,27.400100708007812,BUY,3.1649517785669774
NTLA,"Intellia Therapeutics, Inc.",24.99,2682598656,1041931,26.985,5.9,$2.68B,55.18311019762546,75.56180057464236,239.67390688160876,93.34500122330334,25.0,BUY,25.577656669784144
RARE,Ultragenyx Pharmaceutical Inc.,32.25,3107985408,111623,57.995,25.81,$3.11B,10.786668924121729,15.137449969551199,-8.743633670758813,56.41268547873768,32.25,BUY,6.9350265958875665
REGN,"Regeneron Pharmaceuticals, Inc.",578.895,61355601920,118027,1020.55,476.49,$61.36B,-3.1250557508641066,1.483379804757012,4.271093079204145,45.03705550702527,580.0,BUY,0.423684081389505
RGNX,REGENXBIO Inc.,12.125,612484864,79371,12.84,5.035,$612.48M,29.54060304211929,33.38833659478054,85.11449842629183,91.0770114740097,12.125,BUY,17.550109692077456
SANA,"Sana Biotechnology, Inc.",5.495,1413591296,12735712,7.3,1.26,$1.41B,67.0212750538797,6.906615336474954,223.23527831932296,108.9771053648347,5.494999885559082,BUY,41.58721791852077
SGEN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,
SRPT,"Sarepta Therapeutics, Inc.",21.7513,2276750848,626907,138.81,10.42,$2.28B,17.447625670275453,63.298057883736504,-60.030684410827625,119.61947413955254,21.751300811767578,BUY,6.256474976369845
SRRA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,
TRVX,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,
TWST,Twist Bioscience Corporation,31.445,1898049280,276320,55.33,24.07,$1.90B,12.629691173309403,-12.62836356151922,-20.303798627249805,59.25045695827764,31.479999542236328,BUY,6.869450162376846
VRTX,Vertex Pharmaceuticals Incorporated,411.785,105577824256,250330,519.88,362.5,$105.58B,6.3741621875596195,-13.662859183791253,-17.723628504683155,40.34286897554591,411.7850036621094,BUY,3.3470443816477533
VYNE,VYNE Therapeutics Inc.,0.3985,10150658,534898,4.3,0.281,$10.15M,28.548384646843445,-72.51724259550019,-78.10439648432165,148.46158136072174,0.398499995470047,BUY,12.68999533613143
